Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,7434,0.000000,0.000000,0.000000,396734.000000,3313.379150,24631660.000000,664576.000000,10023714.000000,150807392.000000,525965.000000,1190541.000000,0.993984,0.979910,1.000000,1.000000,0,0,0.993984,0.000000,0.000000,0.979910,0.000000,0.000000,5532
FCFS CONSERVATIVE BF MODE 2,7434,0.000000,0.000000,0.000000,396734.000000,3313.379150,24631660.000000,664576.000000,10023714.000000,150807392.000000,525965.000000,1190541.000000,0.993984,0.979910,1.000000,1.000000,0,0,0.993984,0.000000,0.000000,0.979910,0.000000,0.000000,5532
EFT,7434,0.000000,0.000000,0.000000,396734.000000,3312.540771,24625428.000000,652608.000000,10023714.000000,150799008.000000,531711.000000,1184319.000000,0.990657,0.977397,1.000000,1.000000,0,0,0.990657,0.000000,0.000000,0.977397,0.000000,0.000000,5584
EFT CONSERVATIVE BF MODE 2,7434,0.000000,0.000000,0.000000,396734.000000,3312.540771,24625428.000000,652608.000000,10023714.000000,150799008.000000,531711.000000,1184319.000000,0.990657,0.977397,1.000000,1.000000,0,0,0.990657,0.000000,0.000000,0.977397,0.000000,0.000000,5584
SCORE,7434,273797.000000,859.365906,6388526.000000,423976.000000,4114.183594,30584840.000000,408960.000000,10070399.000000,146991872.000000,344945.000000,753905.000000,1.298620,1.275697,8.682540,7.777175,0,23,1.298620,0.000000,0.000000,1.275697,0.000000,0.000000,6205
SCORE CONSERVATIVE BF MODE 2,7434,273797.000000,850.275879,6320951.000000,423976.000000,4104.349609,30511736.000000,414976.000000,10070399.000000,146987520.000000,333364.000000,748340.000000,1.291280,1.269985,8.593625,7.777175,0,23,1.291280,0.000000,0.000000,1.269985,0.000000,0.000000,6150
OPPORTUNISTIC-SCORE MIX,7434,0.000000,0.000000,0.000000,396734.000000,3312.388428,24624296.000000,658240.000000,10023714.000000,150796512.000000,524943.000000,1183183.000000,0.990468,0.977178,1.000000,1.000000,0,0,0.990468,0.000000,0.000000,0.977178,0.000000,0.000000,5571
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,7434,0.000000,0.000000,0.000000,396734.000000,3312.388428,24624296.000000,658240.000000,10023714.000000,150796512.000000,524943.000000,1183183.000000,0.990468,0.977178,1.000000,1.000000,0,0,0.990468,0.000000,0.000000,0.977178,0.000000,0.000000,5571
EFT-SCORE MIX,7434,888.000000,45.191551,335954.000000,396734.000000,3352.113037,24919608.000000,651904.000000,10023714.000000,150740448.000000,490626.000000,1142530.000000,1.034462,1.020599,3.623656,3.370000,0,0,1.034462,0.000000,0.000000,1.020599,0.000000,0.000000,5636
EFT-SCORE MIX CONSERVATIVE BF MODE 2,7434,892.000000,46.963009,349123.000000,396734.000000,3353.644287,24930992.000000,649856.000000,10023714.000000,150736208.000000,490899.000000,1140755.000000,1.035503,1.021786,3.641577,3.386667,0,0,1.035503,0.000000,0.000000,1.021786,0.000000,0.000000,5658
EFT-SCORE MIX TH80,7434,0.000000,0.000000,0.000000,396734.000000,3311.942871,24620984.000000,658624.000000,10023714.000000,150785600.000000,521251.000000,1179875.000000,0.989839,0.976707,1.000000,1.000000,0,0,0.989839,0.000000,0.000000,0.976707,0.000000,0.000000,5568
EFT-SCORE MIX TH80 CONSERVATIVE BF MODE 2,7434,0.000000,0.000000,0.000000,396734.000000,3312.303955,24623668.000000,657856.000000,10023714.000000,150797824.000000,524682.000000,1182538.000000,0.990086,0.977019,1.000000,1.000000,0,0,0.990086,0.000000,0.000000,0.977019,0.000000,0.000000,5596
